2007-05-22 17:04:06 JMP0828I-U [PID:00000904 TID:00000A30] INVALID VALUE SPECIFIED. PGM=SUB21. LINE=102.1. OPD=TESTA.
2007-05-23 11:21:59 JMP0828I-U [PID:000016A4 TID:00000A74] INVALID VALUE SPECIFIED. PGM=MENU_MAIN. LINE=53.1. OPD=MENUNO.
2007-05-23 11:22:36 JMP0828I-U [PID:000011B8 TID:00001118] INVALID VALUE SPECIFIED. PGM=MENU_MAIN. LINE=53.1. OPD=MENUNO.
2007-05-23 15:55:52 JMP0828I-U [PID:00000770 TID:000015C0] INVALID VALUE SPECIFIED. PGM=SUB31. LINE=296.1. OPD=.
2007-05-23 15:57:42 JMP0828I-U [PID:00000ED8 TID:00001624] INVALID VALUE SPECIFIED. PGM=SUB31. LINE=296.1. OPD=.
2007-05-23 15:59:33 JMP0828I-U [PID:0000163C TID:000007E8] INVALID VALUE SPECIFIED. PGM=SUB31. LINE=296.1. OPD=.
2007-06-11 15:15:20 JMP0828I-U [PID:000005D8 TID:00001550] INVALID VALUE SPECIFIED. PGM=MENU_MAIN. LINE=53.1. OPD=MENUNO.
2007-06-11 16:08:07 JMP0828I-U [PID:00001318 TID:00001060] INVALID VALUE SPECIFIED. PGM=SUB33. LINE=832.1. OPD=STRSYNOPSIS.
2007-06-11 16:08:30 JMP0828I-U [PID:00001450 TID:000008A0] INVALID VALUE SPECIFIED. PGM=SUB33. LINE=832.1. OPD=STRSYNOPSIS.
2007-06-22 17:49:39 JMP0828I-U [PID:0000157C TID:00001490] INVALID VALUE SPECIFIED. PGM=MENU_MAIN. LINE=53.1. OPD=MENUNO.
2007-06-23 14:43:47 JMP0828I-U [PID:00000E58 TID:000017D0] INVALID VALUE SPECIFIED. PGM=MENU_MAIN. LINE=53.1. OPD=MENUNO.
2007-06-23 16:48:16 JMP0828I-U [PID:00001328 TID:000011B0] INVALID VALUE SPECIFIED. PGM=MENU_MAIN. LINE=53.1. OPD=MENUNO.
